"iata","icao","name","lat","lon","zone"
"NCL","EGNT","Newcastle Airport",55.03749847,-1.691669941,"Temperate"
"LCY","EGLC","London City Airport",51.505299,0.055278,"Temperate"
"GDN","EPGD","Gdańsk Lech Wałęsa Airport",54.37760162,18.46619987,"Temperate"
"MLE","VRMM","Malé International Airport",4.191830158,73.52909851,"Tropical"
"CNS","YBCS","Cairns International Airport",-16.88579941,145.7550049,"Tropical"
"BTH","WIDD","Hang Nadim International Airport",1.121029973,104.1190033,"Tropical"
"JHG","ZPJH","Xishuangbanna Gasa Airport",21.97389984,100.7600021,"Tropical"
"LPL","EGGP","Liverpool John Lennon Airport",53.33359909,-2.849720001,"Temperate"
"PLM","WIPP","Sultan Mahmud Badaruddin II Airport",-2.898250103,104.6999969,"Tropical"
"OMA","KOMA","Eppley Airfield",41.3032,-95.894096,"Temperate"
"ADA","LTAF","Adana Şakirpaşa Airport",36.982201,35.280399,"Temperate"
"BUF","KBUF","Buffalo Niagara International Airport",42.94049835,-78.73220062,"Temperate"
"SRG","WAHS","Achmad Yani Airport",-6.97273,110.375,"Tropical"
"SAL","MSLP","Monseñor Óscar Arnulfo Romero International Airport",13.4409,-89.055702,"Tropical"
"PVR","MMPR","Licenciado Gustavo Díaz Ordaz International Airport",20.68009949,-105.2539978,"Tropical"
"TAE","RKTN","Daegu Airport",35.896872,128.65531,"Temperate"
"LHE","OPLA","Alama Iqbal International Airport",31.52160072,74.4036026,"Temperate"
"CAG","LIEE","Cagliari Elmas Airport",39.251499,9.05428,"Temperate"
"CHS","KCHS","Charleston International Airport",32.898602,-80.040497,"Temperate"
"LXA","ZULS","Lhasa Gonggar Airport",29.29780006,90.91190338,"Temperate"
"EMA","EGNX","East Midlands Airport",52.83110046,-1.328060031,"Temperate"
"MBJ","MKJS","Sangster International Airport",18.50370026,-77.91339874,"Tropical"
"MEM","KMEM","Memphis International Airport",35.04240036,-89.97669983,"Temperate"
"JHB","WMKJ","Senai International Airport",1.64131,103.669998,"Tropical"
"SIP","UKFF","Simferopol International Airport",45.0522,33.975101,"Temperate"
"HRG","HEGN","Hurghada International Airport",27.180325,33.807292,"Temperate"
"DVO","RPMD","Francisco Bangoy International Airport",7.12552,125.646004,"Tropical"
"PAT","VEPT","Lok Nayak Jayaprakash Airport",25.59129906,85.08799744,"Temperate"
"REP","VDSR","Siem Reap International Airport",13.41155,103.813044,"Tropical"
"TAS","UTTT","Tashkent International Airport",41.25790024,69.28119659,"Temperate"
"MSQ","UMMS","Minsk National Airport",53.888071,28.039964,"Temperate"
"RIC","KRIC","Richmond International Airport",37.50519943,-77.31970215,"Temperate"
"GYD","UBBB","Heydar Aliyev International Airport",40.46749878,50.04669952,"Temperate"
"YWG","CYWG","Winnipeg / James Armstrong Richardson International Airport",49.90999985,-97.23989868,"Temperate"
"VNO","EYVI","Vilnius International Airport",54.634102,25.285801,"Temperate"
"RNO","KRNO","Reno Tahoe International Airport",39.49909973,-119.7679977,"Temperate"
"TRD","ENVA","Trondheim Airport Værnes",63.4578018,10.9239998,"Temperate"
"OKC","KOKC","Will Rogers World Airport",35.39310074,-97.60070038,"Temperate"
"LUX","ELLX","Luxembourg-Findel International Airport",49.6233333,6.2044444,"Temperate"
"KRR","URKK","Krasnodar Pashkovsky International Airport",45.03469849,39.17050171,"Temperate"
"YHZ","CYHZ","Halifax / Stanfield International Airport",44.88079834,-63.50859833,"Temperate"
"CRK","RPLC","Diosdado Macapagal International Airport",15.186,120.559998,"Tropical"
"RHO","LGRP","Diagoras Airport",36.40539932,28.08620071,"Temperate"
"SDQ","MDSD","Las Américas International Airport",18.42970085,-69.66889954,"Tropical"
"SDF","KSDF","Louisville Muhammad Ali International Airport",38.1744,-85.736,"Temperate"
"BOI","KBOI","Boise Air Terminal/Gowen Field",43.5644,-116.223,"Temperate"
"ABV","DNAA","Nnamdi Azikiwe International Airport",9.006790161,7.263169765,"Tropical"
"SVG","ENZV","Stavanger Airport Sola",58.87670135,5.63778019,"Temperate"
"NUE","EDDN","Nuremberg Airport",49.498699,11.078056,"Temperate"
"ORF","KORF","Norfolk International Airport",36.89459991,-76.20120239,"Temperate"
"BBI","VEBS","Biju Patnaik Airport",20.24440002,85.81780243,"Tropical"
"TRN","LIMF","Turin Airport",45.200802,7.64963,"Temperate"
"MHD","OIMM","Mashhad International Airport",36.23519897,59.64099884,"Temperate"
"BVA","LFOB","Paris Beauvais Tillé Airport",49.454399,2.11278,"Temperate"
"GYE","SEGU","José Joaquín de Olmedo International Airport",-2.15741992,-79.88359833,"Tropical"
"LBA","EGNM","Leeds Bradford Airport",53.86589813,-1.660570025,"Temperate"
"PNK","WIOO","Supadio Airport",-0.150711,109.4039993,"Tropical"
"DLM","LTBS","Dalaman International Airport",36.71310043,28.79249954,"Temperate"
"PVD","KPVD","Theodore Francis Green State Airport",41.732601,-71.420403,"Temperate"
"TRV","VOTV","Trivandrum International Airport",8.48211956,76.92009735,"Tropical"
"MIG","ZUMY","Mianyang Airport",31.42810059,104.7409973,"Temperate"
"CUZ","SPZO","Alejandro Velasco Astete International Airport",-13.53569984,-71.938797,"Tropical"
"GEG","KGEG","Spokane International Airport",47.61989975,-117.5339966,"Temperate"
"TBS","UGTB","Tbilisi International Airport",41.6692009,44.95470047,"Temperate"
"NAS","MYNN","Lynden Pindling International Airport",25.039,-77.466202,"Temperate"
"AHB","OEAB","Abha International Airport",18.2404,42.656601,"Tropical"
"KOA","PHKO","Ellison Onizuka Kona International Airport at Keahole",19.738783,-156.045603,"Tropical"
"HDY","VTSS","Hat Yai International Airport",6.933209896,100.3929977,"Tropical"
"ECN","LCEN","Ercan International Airport",35.15470123,33.49610138,"Temperate"
"MRU","FIMP","Sir Seewoosagur Ramgoolam International Airport",-20.430201,57.683601,"Tropical"
"KBV","VTSG","Krabi Airport",8.09912014,98.98619843,"Tropical"
"FLN","SBFL","Hercílio Luz International Airport",-27.67027855,-48.55250168,"Temperate"
"GUM","PGUM","Antonio B. Won Pat International Airport",13.4834,144.796005,"Tropical"
"BJV","LTFE","Milas Bodrum International Airport",37.25059891,27.66430092,"Temperate"
"KTW","EPKT","Katowice International Airport",50.4743,19.08,"Temperate"
"TUS","KTUS","Tucson International Airport / Morris Air National Guard Base",32.115004,-110.938053,"Temperate"
"TZX","LTCG","Trabzon International Airport",40.99509811,39.78969955,"Temperate"
"CCJ","VOCL","Calicut International Airport",11.13679981,75.95529938,"Tropical"
"GRR","KGRR","Gerald R. Ford International Airport",42.88079834,-85.52279663,"Temperate"
"CZX","ZSCG","Changzhou Benniu Airport",31.919701,119.778999,"Temperate"
"PKU","WIBB","Sultan Syarif Kasim Ii (Simpang Tiga) Airport",0.460786015,101.4449997,"Tropical"
"BEL","SBBE","Val de Cans/Júlio Cezar Ribeiro International Airport",-1.37925005,-48.47629929,"Tropical"
"VRN","LIPX","Verona Villafranca Airport",45.395699,10.8885,"Temperate"
"BDJ","WAOO","Syamsudin Noor Airport",-3.44236,114.763,"Tropical"
"PDG","WIEE","Minangkabau International Airport",-0.786917,100.280998,"Tropical"
"LGB","KLGB","Long Beach Airport (Daugherty Field)",33.817699,-118.152,"Temperate"
"VVI","SLVR","Viru Viru International Airport",-17.6448,-63.135399,"Tropical"
"ELP","KELP","El Paso International Airport",31.80719948,-106.3779984,"Temperate"
"TSF","LIPH","Treviso-Sant'Angelo Airport",45.648399,12.1944,"Temperate"
"COR","SACO","Ingeniero Ambrosio Taravella Airport",-31.323601,-64.208,"Temperate"
"TIA","LATI","Tirana International Airport Mother Teresa",41.41469955,19.72060013,"Temperate"
"ZAG","LDZA","Zagreb Airport",45.74290085,16.06879997,"Temperate"
"PQC","VVPQ","Phu Quoc International Airport",10.1698,103.9931,"Tropical"
"MAH","LEMH","Menorca Airport",39.86259842,4.218649864,"Temperate"
"IXB","VEBD","Bagdogra Airport",26.68120003,88.32859802,"Temperate"
"BGW","ORBI","Baghdad International Airport / New Al Muthana Air Base",33.262501,44.2346,"Temperate"
"CBR","YSCB","Canberra International Airport",-35.30690002,149.1950073,"Temperate"
"SDJ","RJSS","Sendai Airport",38.139702,140.917007,"Temperate"
"GUA","MGGT","La Aurora Airport",14.5833,-90.527496,"Tropical"
"NAG","VANP","Dr. Babasaheb Ambedkar International Airport",21.092199,79.047203,"Tropical"
"VIX","SBVT","Eurico de Aguiar Salles Airport",-20.258057,-40.286388,"Tropical"
"VNS","VEBN","Lal Bahadur Shastri Airport",25.452129,82.861805,"Temperate"
"LIH","PHLI","Lihue Airport",21.97599983,-159.3390045,"Tropical"
"POS","TTPP","Piarco International Airport",10.59539986,-61.33720016,"Tropical"
"LOP","WADL","Lombok International Airport",-8.757322,116.276675,"Tropical"
"WRO","EPWR","Copernicus Wrocław Airport",51.10269928,16.88579941,"Temperate"
"BDO","WICC","Husein Sastranegara International Airport",-6.900629997,107.5759964,"Tropical"
"GYN","SBGO","Santa Genoveva Airport",-16.63199997,-49.22069931,"Tropical"
"IDR","VAID","Devi Ahilyabai Holkar Airport",22.72179985,75.80110168,"Tropical"
"VVO","UHWW","Vladivostok International Airport",43.396256,132.148155,"Temperate"
"CJB","VOCB","Coimbatore International Airport",11.02999973,77.04340363,"Tropical"
"BLL","EKBI","Billund Airport",55.74029922,9.151780128,"Temperate"
"SFB","KSFB","Orlando Sanford International Airport",28.77759933,-81.23750305,"Temperate"
"OLB","LIEO","Olbia Costa Smeralda Airport",40.898701,9.51763,"Temperate"
"KNH","RCBS","Kinmen Airport",24.4279,118.359001,"Temperate"
"KRT","HSSK","Khartoum International Airport",15.5895,32.5532,"Tropical"
"WMI","EPMO","Modlin Airport",52.451099,20.6518,"Temperate"
"MZG","RCQC","Penghu Magong Airport",23.568701,119.627998,"Temperate"
"SPU","LDSP","Split Airport",43.53889847,16.29800034,"Temperate"
"ZHA","ZGZJ","Zhanjiang Xintang Airport",21.214399,110.358002,"Tropical"
"KMJ","RJFT","Kumamoto Airport",32.83729935,130.8549957,"Temperate"
"BHM","KBHM","Birmingham-Shuttlesworth International Airport",33.56290054,-86.75350189,"Temperate"
"ALB","KALB","Albany International Airport",42.74829865,-73.80169678,"Temperate"
"SXR","VISR","Sheikh ul Alam Airport",33.98709869,74.77420044,"Temperate"
"TUL","KTUL","Tulsa International Airport",36.19839859,-95.88809967,"Temperate"
"NTG","ZSNT","Nantong Airport",32.07080078,120.9759979,"Temperate"
"SUF","LICA","Lamezia Terme Airport",38.905399,16.2423,"Temperate"
"EVN","UDYZ","Zvartnots International Airport",40.14730072,44.39590073,"Temperate"
"UKB","RJBE","Kobe Airport",34.63280106,135.223999,"Temperate"
"LGK","WMKL","Langkawi International Airport",6.329730034,99.72869873,"Tropical"
"CGB","SBCY","Marechal Rondon Airport",-15.65289974,-56.11669922,"Tropical"
"MYJ","RJOM","Matsuyama Airport",33.82720184,132.6999969,"Temperate"
"RMQ","RCMQ","Taichung International Airport / Ching Chuang Kang Air Base",24.2647,120.621002,"Temperate"
"NGS","RJFU","Nagasaki Airport",32.91690063,129.9140015,"Temperate"
"MAO","SBEG","Eduardo Gomes International Airport",-3.03861,-60.049702,"Tropical"
"KIV","LUKK","Chişinău International Airport",46.92770004,28.93099976,"Temperate"
"VTZ","VOVZ","Visakhapatnam Airport",17.721201,83.224503,"Tropical"
"YIH","ZHYC","Yichang Sanxia Airport",30.55655,111.479988,"Temperate"
"SAV","KSAV","Savannah Hilton Head International Airport",32.12760162,-81.20210266,"Temperate"
"KZN","UWKD","Kazan International Airport",55.60620117,49.27870178,"Temperate"
"CFU","LGKR","Ioannis Kapodistrias International Airport",39.60189819,19.9116993,"Temperate"
"CCS","SVMI","Simón Bolívar International Airport",10.601194,-66.991222,"Tropical"
"YTZ","CYTZ","Billy Bishop Toronto City Centre Airport",43.627499,-79.396202,"Temperate"
"FNC","LPMA","Madeira Airport",32.697899,-16.7745,"Temperate"
"HIJ","RJOA","Hiroshima Airport",34.4361,132.919006,"Temperate"
"DSM","KDSM","Des Moines International Airport",41.5340004,-93.6631012,"Temperate"
"TLL","EETN","Lennart Meri Tallinn Airport",59.41329956,24.83279991,"Temperate"
"ILO","RPVI","Iloilo International Airport",10.833017,122.493358,"Tropical"
"SCQ","LEST","Santiago de Compostela Airport",42.89630127,-8.415140152,"Temperate"
"FLR","LIRQ","Peretola Airport",43.810001,11.2051,"Temperate"
"CEI","VTCT","Mae Fah Luang - Chiang Rai International Airport",19.952299,99.882896,"Tropical"
"PFO","LCPH","Paphos International Airport",34.7179985,32.4856987,"Temperate"
"ROV","URRP","Platov International Airport",47.493888,39.924722,"Temperate"
"MDC","WAMM","Sam Ratulangi Airport",1.54926002,124.9260025,"Tropical"
"CJJ","RKTU","Cheongju International Airport/Cheongju Air Base (K-59/G-513)",36.717008,127.498741,"Temperate"
"SZB","WMSA","Sultan Abdul Aziz Shah International Airport",3.130579948,101.5490036,"Tropical"
"ACC","DGAA","Kotoka International Airport",5.6051898,-0.166786,"Tropical"
"HBA","YMHB","Hobart International Airport",-42.83610153,147.5099945,"Temperate"
"ATQ","VIAR","Sri Guru Ram Dass Jee International Airport",31.70960045,74.79730225,"Temperate"
"WEH","ZSWH","Weihai Airport",37.18709946,122.2289963,"Temperate"
"DJJ","WAJJ","Sentani International Airport",-2.57695,140.516006,"Tropical"
"CLJ","LRCL","Cluj-Napoca International Airport",46.785198,23.686199,"Temperate"
"LPB","SLLP","El Alto International Airport",-16.51329994,-68.19229889,"Tropical"
"DYG","ZGDY","Dayong Airport",29.1028,110.443001,"Temperate"
"MID","MMMD","Licenciado Manuel Crescencio Rejon Int Airport",20.93700027,-89.65769959,"Tropical"
"DBV","LDDU","Dubrovnik Airport",42.56140137,18.26819992,"Temperate"
"XUZ","ZSXZ","Xuzhou Guanyin Airport",34.059056,117.555278,"Temperate"
"BAQ","SKBQ","Ernesto Cortissoz International Airport",10.8896,-74.7808,"Tropical"
"DTM","EDLW","Dortmund Airport",51.5182991,7.612239838,"Temperate"
"AUA","TNCA","Queen Beatrix International Airport",12.5014,-70.015198,"Tropical"
"BJX","MMLO","Del Bajío International Airport",20.9935,-101.481003,"Tropical"
"HUZ","ZGHZ","Huizhou Pingtan Airport",23.049999,114.599998,"Tropical"
"BDS","LIBR","Brindisi Airport",40.6576,17.947001,"Temperate"
"IEV","UKKK","Kiev Zhuliany International Airport",50.40194,30.45194,"Temperate"
"PSP","KPSP","Palm Springs International Airport",33.8297,-116.507004,"Temperate"
"KUF","UWWW","Kurumoch International Airport",53.50490189,50.16429901,"Temperate"
"BMA","ESSB","Stockholm-Bromma Airport",59.35440063,17.94169998,"Temperate"
"KMI","RJFM","Miyazaki Airport",31.87719917,131.4490051,"Temperate"
"MYR","KMYR","Myrtle Beach International Airport",33.67969894,-78.92829895,"Temperate"
"ROC","KROC","Greater Rochester International Airport",43.1189003,-77.67240143,"Temperate"
"SYR","KSYR","Syracuse Hancock International Airport",43.11119843,-76.10630035,"Temperate"
"ORK","EICK","Cork Airport",51.84130096,-8.491109848,"Temperate"
"UFA","UWUU","Ufa International Airport",54.55749893,55.87440109,"Temperate"
"IXR","VERC","Birsa Munda Airport",23.31430054,85.32170105,"Tropical"
"YTY","ZSYA","Yangzhou Taizhou Airport",32.5634,119.7198,"Temperate"
"DSS","GOBD","Blaise Diagne International Airport",14.67,-17.073333,"Tropical"
"UTH","VTUD","Udon Thani Airport",17.38640022,102.788002,"Tropical"
"KLO","RPVK","Kalibo International Airport",11.67940044,122.3759995,"Tropical"
"VTE","VLVT","Wattay International Airport",17.98830032,102.5630035,"Tropical"
"GSP","KGSP","Greenville Spartanburg International Airport",34.895699,-82.218903,"Temperate"
"KHG","ZWSH","Kashgar Airport",39.54290009,76.01999664,"Temperate"
"CBB","SLCB","Jorge Wilsterman International Airport",-17.42110062,-66.17710114,"Tropical"
"HPH","VVCI","Cat Bi International Airport",20.81940079,106.7249985,"Tropical"
"HLD","ZBLA","Hulunbuir Hailar Airport",49.205002,119.824997,"Temperate"
"NAN","NFFN","Nadi International Airport",-17.7553997,177.4429932,"Tropical"
"BHD","EGAC","George Best Belfast City Airport",54.61809921,-5.872499943,"Temperate"
"TYS","KTYS","McGhee Tyson Airport",35.81100082,-83.9940033,"Temperate"
"MYY","WBGR","Miri Airport",4.32201004,113.9869995,"Tropical"
"YCU","ZBYC","Yuncheng Guangong Airport",35.116391,111.0313889,"Temperate"
"ABZ","EGPD","Aberdeen Dyce Airport",57.20190048,-2.197779894,"Temperate"
"CUL","MMCL","Bachigualato Federal International Airport",24.7645,-107.474998,"Temperate"
"LEJ","EDDP","Leipzig/Halle Airport",51.423889,12.236389,"Temperate"
"ISG","ROIG","New Ishigaki Airport",24.396389,124.245,"Temperate"
"ZQN","NZQN","Queenstown International Airport",-45.021099,168.738998,"Temperate"
"GZT","LTAJ","Gaziantep International Airport",36.94720078,37.47869873,"Temperate"
"BHY","ZGBH","Beihai Fucheng Airport",21.5394,109.293999,"Tropical"
"NYO","ESKN","Stockholm Skavsta Airport",58.788601,16.912201,"Temperate"
"DSN","ZBDS","Ordos Ejin Horo Airport",39.49,109.8613889,"Temperate"
"UYN","ZLYL","Yulin Yuyang Airport",38.35971,109.590927,"Temperate"
"BGI","TBPB","Grantley Adams International Airport",13.0746,-59.4925,"Tropical"
"IKT","UIII","Irkutsk Airport",52.26800156,104.3889999,"Temperate"
"RUN","FMEE","Roland Garros Airport",-20.88710022,55.51029968,"Tropical"
"TKG","WILL","Radin Inten II International Airport",-5.240556,105.175556,"Tropical"
"MRV","URMM","Mineralnyye Vody Airport",44.22510147,43.08190155,"Temperate"
"GIZ","OEGN","Jizan Regional Airport / King Abdullah bin Abdulaziz Airport",16.9011,42.5858,"Tropical"
"RPR","VERP","Swami Vivekananda Airport",21.180401,81.7388,"Tropical"
"KJA","UNKL","Krasnoyarsk International Airport",56.173077,92.492437,"Temperate"
"IXC","VICG","Chandigarh Airport",30.67350006,76.78849792,"Temperate"
"KRL","ZWKL","Korla Airport",41.69779968,86.12889862,"Temperate"
"SKP","LWSK","Skopje International Airport",41.961601,21.621401,"Temperate"
"CJC","SCCF","El Loa Airport",-22.49819946,-68.9036026,"Tropical"
"MSN","KMSN","Dane County Regional Truax Field",43.13990021,-89.33750153,"Temperate"
"IGU","SBFI","Cataratas International Airport",-25.60027885,-54.48500061,"Temperate"
"NAT","SBSG","São Gonçalo do Amarante - Governador Aluízio Alves International Airport",-5.769804,-35.366578,"Tropical"
"DAR","HTDA","Julius Nyerere International Airport",-6.87811,39.202599,"Tropical"
"CGY","RPMY","Laguindingan Airport",8.612203,124.456496,"Tropical"
"ABJ","DIAP","Félix-Houphouët-Boigny International Airport",5.26139,-3.92629,"Tropical"
"ASB","UTAA","Ashgabat International Airport",37.986801,58.361,"Temperate"
"SMR","SKSM","Simón Bolívar International Airport",11.1196,-74.2306,"Tropical"
"PPS","RPVP","Puerto Princesa Airport",9.742119789,118.7590027,"Tropical"
"USM","VTSM","Samui Airport",9.547789574,100.0619965,"Tropical"
"TOS","ENTC","Tromsø Airport",69.6832962,18.91889954,"Frigid"
"KGD","UMKK","Khrabrovo Airport",54.88999939,20.59259987,"Temperate"
"PNS","KPNS","Pensacola International Airport",30.4734,-87.1866,"Temperate"
"YLW","CYLW","Kelowna International Airport",49.9561,-119.377998,"Temperate"
"ANF","SCFA","Andrés Sabella Gálvez International Airport",-23.444501,-70.445099,"Temperate"
"BRE","EDDW","Bremen Airport",53.04750061,8.786669731,"Temperate"
"PTP","TFFR","Pointe-à-Pitre Le Raizet",16.265301,-61.531799,"Tropical"
"PIE","KPIE","St Petersburg Clearwater International Airport",27.91020012,-82.68740082,"Temperate"
"KOE","WATT","El Tari Airport",-10.17160034,123.6709976,"Tropical"
"CHQ","LGSA","Chania International Airport",35.53170013,24.14970016,"Temperate"
"MDZ","SAME","El Plumerillo Airport",-32.83169937,-68.79290009,"Temperate"
"PRN","BKPR","Priština Adem Jashari International Airport",42.5728,21.035801,"Temperate"
"KBL","OAKB","Hamid Karzai International Airport",34.565899,69.212303,"Temperate"
"KGS","LGKO","Kos Airport",36.79330063,27.0916996,"Temperate"
"PWM","KPWM","Portland International Jetport",43.646198,-70.309303,"Temperate"
"JTR","LGSR","Santorini Airport",36.39920044,25.47929955,"Temperate"
"LIT","KLIT","Bill & Hillary Clinton National Airport/Adams Field",34.72940063,-92.22429657,"Temperate"
"ASR","LTAU","Kayseri Erkilet Airport",38.770401,35.49539948,"Temperate"
"HBE","HEBA","Borg El Arab International Airport",30.91769981,29.69639969,"Temperate"
"LYI","ZSLY","Shubuling Airport",35.04610062,118.4120026,"Temperate"
"DRW","YPDN","Darwin International Airport",-12.41469955,130.8769989,"Tropical"
"LAD","FNLU","Quatro de Fevereiro Airport",-8.85837,13.2312,"Tropical"
"GSO","KGSO","Piedmont Triad International Airport",36.09780121,-79.93730164,"Temperate"
"TRF","ENTO","Sandefjord Airport, Torp",59.18669891,10.25860024,"Temperate"
"LUM","ZPMS","Dehong Mangshi Airport",24.4011,98.5317,"Temperate"
"BAV","ZBOW","Baotou Airport",40.56000137,109.9970016,"Temperate"
"ADZ","SKSP","Gustavo Rojas Pinilla International Airport",12.5836,-81.7112,"Tropical"
"MDL","VYMD","Mandalay International Airport",21.70219994,95.97789764,"Tropical"
"SOC","WAHQ","Adisumarmo International Airport",-7.513564,110.750494,"Tropical"
"KHV","UHHH","Khabarovsk-Novy Airport",48.52799988,135.1880035,"Temperate"
"KOS","VDSV","Sihanoukville International Airport",10.5797,103.637001,"Tropical"
"BTS","LZIB","M. R. Štefánik Airport",48.17020035,17.21269989,"Temperate"
"MCZ","SBMO","Zumbi dos Palmares Airport",-9.510809898,-35.79169846,"Tropical"
"TAK","RJOT","Takamatsu Airport",34.21419907,134.0160065,"Temperate"
"LIL","LFQQ","Lille-Lesquin Airport",50.563332,3.086886,"Temperate"
"SYZ","OISS","Shiraz Shahid Dastghaib International Airport",29.5392,52.589802,"Temperate"
"HIA","ZSSH","Lianshui Airport",33.79083333,119.125,"Temperate"
"SSH","HESH","Sharm El Sheikh International Airport",27.97730064,34.39500046,"Temperate"
"BZE","MZBZ","Philip S. W. Goldson International Airport",17.53910065,-88.30819702,"Tropical"
"AGA","GMAD","Al Massira Airport",30.322478,-9.412003,"Temperate"
"YYJ","CYYJ","Victoria International Airport",48.64690018,-123.4260025,"Temperate"
"PGK","WIPK","Pangkal Pinang (Depati Amir) Airport",-2.162199974,106.1389999,"Tropical"
"SOQ","WASS","Domine Eduard Osok Airport",-0.894,131.287,"Tropical"
"YNZ","ZSYN","Yancheng Airport",33.425833,120.203056,"Temperate"
"HLA","FALA","Lanseria Airport",-25.93849945,27.92609978,"Temperate"
"VII","VVVH","Vinh Airport",18.73760033,105.6709976,"Tropical"
"FRU","UCFM","Manas International Airport",43.06129837,74.4776001,"Temperate"
"MVD","SUMU","Carrasco International /General C L Berisso Airport",-34.838402,-56.0308,"Temperate"
"SEN","EGMC","Southend Airport",51.5714,0.695556,"Temperate"
"YIW","ZSYW","Yiwu Airport",29.34469986,120.0319977,"Temperate"
"MMX","ESMS","Malmö Sturup Airport",55.53630536,13.37619781,"Temperate"
"BOJ","LBBG","Burgas Airport",42.56959915,27.51519966,"Temperate"
"KWJ","RKJJ","Gwangju Airport",35.123173,126.805444,"Temperate"
"FDF","TFFF","Martinique Aimé Césaire International Airport",14.5909996,-61.00320053,"Tropical"
"MPH","RPVE","Godofredo P. Ramos Airport",11.9245,121.954002,"Tropical"
"IXE","VOML","Mangalore International Airport",12.9612999,74.89009857,"Tropical"
"POM","AYPY","Port Moresby Jacksons International Airport",-9.443380356,147.2200012,"Tropical"
"MPL","LFMT","Montpellier-Méditerranée Airport",43.57619858,3.963010073,"Temperate"
"KKC","VTUK","Khon Kaen Airport",16.46660042,102.7839966,"Tropical"
"DLU","ZPDL","Dali Airport",25.649401,100.319,"Temperate"
"FAT","KFAT","Fresno Yosemite International Airport",36.776199,-119.718002,"Temperate"
"TJM","USTR","Roshchino International Airport",57.1896019,65.32430267,"Temperate"
"AQP","SPQU","Rodríguez Ballón International Airport",-16.34110069,-71.58309937,"Tropical"
"BGA","SKBG","Palonegro Airport",7.1265,-73.1848,"Tropical"
"POZ","EPPO","Poznań-Ławica Airport",52.42100143,16.82629967,"Temperate"
"ZYI","ZUZY","Zunyi Xinzhou Airport",27.5895,107.0007,"Temperate"
"NVT","SBNF","Ministro Victor Konder International Airport",-26.879999,-48.651402,"Temperate"
"EBL","ORER","Erbil International Airport",36.23759842,43.96319962,"Temperate"
"NJF","ORNI","Al Najaf International Airport",31.989853,44.404317,"Temperate"
"SRQ","KSRQ","Sarasota Bradenton International Airport",27.39539909,-82.55439758,"Temperate"
"HUI","VVPB","Phu Bai International Airport",16.401501,107.703003,"Tropical"
"PEI","SKPE","Matecaña International Airport",4.81267,-75.7395,"Tropical"
"YQB","CYQB","Quebec Jean Lesage International Airport",46.7911,-71.393303,"Temperate"
"URT","VTSB","Surat Thani Airport",9.132599831,99.13559723,"Tropical"
"SBW","WBGS","Sibu Airport",2.261600018,111.9850006,"Tropical"
"GRO","LEGE","Girona Airport",41.90100098,2.760550022,"Temperate"
"DLI","VVDL","Lien Khuong Airport",11.75,108.366997,"Tropical"
"YNJ","ZYYJ","Yanji Chaoyangchuan Airport",42.88280106,129.451004,"Temperate"
"PMC","SCTE","El Tepual Airport",-41.43889999,-73.09400177,"Temperate"
"KBR","WMKC","Sultan Ismail Petra Airport",6.16685009,102.2929993,"Tropical"
"BWN","WBSB","Brunei International Airport",4.944200039,114.9280014,"Tropical"
"CGP","VGEG","Shah Amanat International Airport",22.249599,91.813301,"Tropical"
"IXZ","VOPB","Vir Savarkar International Airport",11.64120007,92.72969818,"Tropical"
"LZO","ZULZ","Luzhou Yunlong Airport",29.030357,105.468407,"Temperate"
"ORN","DAOO","Oran International Airport Ahmed Ben Bella",35.623901,-0.621183,"Temperate"
"TSV","YBTL","Townsville Airport / RAAF Base Townsville",-19.252904,146.766512,"Tropical"
"HMO","MMHO","General Ignacio P. Garcia International Airport",29.09589958,-111.0479965,"Temperate"
"STV","VASU","Surat Airport",21.1140995,72.7417984,"Tropical"
"PDL","LPPD","João Paulo II Airport",37.74119949,-25.69790077,"Temperate"
"BPS","SBPS","Porto Seguro Airport",-16.438601,-39.080898,"Tropical"
"TWU","WBKW","Tawau Airport",4.320159912,118.1279984,"Tropical"
"BOO","ENBO","Bodø Airport",67.26920319,14.36530018,"Frigid"
"XNA","KXNA","Northwest Arkansas Regional Airport",36.281898,-94.306801,"Temperate"
"SOU","EGHI","Southampton Airport",50.95029831,-1.35679996,"Temperate"
"KIN","MKJP","Norman Manley International Airport",17.93569946,-76.78749847,"Tropical"
"AKU","ZWAK","Aksu Onsu Airport",41.262501,80.291702,"Temperate"
"PLZ","FAPE","Port Elizabeth International Airport",-33.984901,25.6173,"Temperate"
"UBP","VTUU","Ubon Ratchathani Airport",15.25129986,104.8700027,"Tropical"
"AZA","KIWA","Phoenix-Mesa-Gateway Airport",33.3078,-111.654999,"Temperate"
"PKX","ZBAD","Beijing Daxing International Airport",39.509945,116.41092,"Temperate"
"MHT","KMHT","Manchester-Boston Regional Airport",42.932598,-71.435699,"Temperate"
"IXJ","VIJU","Jammu Airport",32.688849,74.838152,"Temperate"
"FMM","EDJA","Memmingen Allgau Airport",47.98880005,10.23950005,"Temperate"
"EBB","HUEN","Entebbe International Airport",0.042386,32.443501,"Tropical"
"LJU","LJLJ","Ljubljana Jože Pučnik Airport",46.223701,14.4576,"Temperate"
"ICT","KICT","Wichita Eisenhower National Airport",37.649899,-97.433098,"Temperate"
"DAY","KDAY","James M Cox Dayton International Airport",39.90240097,-84.2193985,"Temperate"
"LWO","UKLL","Lviv International Airport",49.8125,23.95610046,"Temperate"
